accession	domain	phylum	class	order	family	genus	species
RS_GCF_000298315.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium grahamii
RS_GCF_036689775.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Cellulomonadaceae	Isoptericola	Isoptericola haloaureus
RS_GCF_000285535.1	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae_L	Ferdinandcohnia	Ferdinandcohnia timonensis
RS_GCF_007859075.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	Gemmobacter aquaticus
GB_GCA_021201395.1	Bacteria	Bacillota	Clostridia	Lachnospirales	CAG-274	JAJQCI01	JAJQCI01 sp021201395
GB_GCA_003563855.1	Bacteria	Verrucomicrobiota	Kiritimatiellia	PWTM01	PWTM01	PWTM01	PWTM01 sp003563855
RS_GCF_011305415.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium bernardetii
GB_GCA_036721445.1	Bacteria	UBA4055	UBA4055	UBA4055	UBA4055	UBA4055	UBA4055 sp036721445
GB_GCA_037444285.1	Bacteria	Acidobacteriota	Aminicenantia	JBFLYD01	JBBIMS01	JBBIMS01	JBBIMS01 sp037444285
GB_GCA_017427385.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp017427385
GB_GCA_029268285.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrococcales	AK92	JAJUGG01	JAJUGG01 sp029268285
GB_GCA_025935235.1	Bacteria	Chloroflexota	Ktedonobacteria	Ktedonobacterales	JADMIN01	JAKAIY01	JAKAIY01 sp025935235
RS_GCF_023283535.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella sairae
GB_GCA_009925805.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA952	UBA952 sp009925805
GB_GCA_003244015.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocapsa	Methylocapsa sp003244015
GB_GCA_031401675.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JANNRR01	JANNRR01 sp031401675
GB_GCA_040221695.1	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Coleofasciculus	Coleofasciculus sp040221695
GB_GCA_041685625.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albimonas	Albimonas sp041685625
RS_GCF_963525605.1	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_B	Campylobacter_B sp963525605
RS_GCF_032268605.1	Bacteria	Bacillota	Bacilli	Paenibacillales	NBRC-103111	Paenibacillus_AO	Paenibacillus_AO aurantius
RS_GCF_032823475.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp032823475
GB_GCA_002366725.1	Bacteria	WOR-3	UBA3073	UBA3073	UBA3073	UBA3073	UBA3073 sp002366725
